IDMancha;com;cobv
390;28;25.00
391;1;5.00
391;9;10.00
391;13;15.00
391;17;5.00
391;20;5.00
391;21;40.00
391;28;20.00
392;6;5.00
392;9;5.00
392;13;5.00
392;14;80.00
392;28;5.00
393;1;20.00
393;9;10.00
393;14;60.00
393;28;10.00
394;1;15.00
394;9;10.00
394;13;5.00
394;14;60.00
394;28;10.00
395;1;20.00
395;9;10.00
395;14;60.00
395;28;10.00
396;1;15.00
396;8;5.00
396;9;15.00
396;14;30.00
396;17;5.00
396;28;30.00
397;1;5.00
397;8;5.00
397;9;15.00
397;14;40.00
397;18;10.00
397;28;25.00
398;1;20.00
398;9;20.00
398;18;40.00
398;28;20.00
399;1;10.00
399;9;10.00
399;14;60.00
399;28;20.00
400;1;10.00
400;9;15.00
400;14;30.00
400;17;5.00
400;21;10.00
400;28;30.00
401;1;15.00
401;4;5.00
401;9;15.00
401;14;50.00
401;28;15.00
402;1;5.00
402;9;10.00
402;17;5.00
402;20;5.00
402;21;20.00
402;23;30.00
402;28;25.00
403;1;5.00
403;9;15.00
403;17;5.00
403;21;30.00
403;23;20.00
403;28;25.00
404;1;10.00
404;9;20.00
404;14;50.00
404;28;20.00
405;1;20.00
405;4;5.00
405;9;15.00
405;14;40.00
405;28;20.00
406;1;10.00
406;4;5.00
406;9;15.00
406;14;20.00
406;18;30.00
406;28;20.00
407;8;10.00
407;9;10.00
407;13;15.00
407;14;40.00
407;18;20.00
407;32;5.00
408;8;10.00
408;9;10.00
408;13;5.00
408;14;40.00
408;18;15.00
408;29;10.00
408;32;10.00
409;1;5.00
409;4;5.00
409;9;15.00
409;14;50.00
409;18;10.00
409;28;10.00
409;29;5.00
410;1;10.00
410;9;30.00
410;17;5.00
410;20;5.00
410;21;10.00
410;23;30.00
410;28;10.00
411;24;5.00
411;37;95.00
412;5;5.00
412;37;95.00
413;5;5.00
413;37;95.00
414;5;5.00
414;37;95.00
415;5;5.00
415;6;5.00
415;37;90.00
416;5;20.00
416;7;30.00
416;21;10.00
416;37;40.00
417;5;5.00
417;37;95.00
418;7;40.00
418;21;40.00
418;24;10.00
418;30;10.00
419;21;65.00
419;24;20.00
419;28;5.00
419;30;10.00
420;1;5.00
420;5;5.00
420;9;15.00
420;14;30.00
420;21;35.00
420;23;5.00
420;25;5.00
421;5;10.00
421;21;10.00
421;37;80.00
422;5;5.00
422;7;90.00
422;13;5.00
423;5;10.00
423;7;20.00
423;21;20.00
423;23;20.00
423;28;20.00
423;37;10.00
424;5;5.00
424;37;95.00
425;5;5.00
425;7;85.00
425;21;5.00
425;23;5.00
426;3;10.00
426;6;10.00
426;9;40.00
426;16;20.00
426;28;20.00
427;3;10.00
427;5;5.00
427;6;5.00
427;9;10.00
427;16;10.00
427;37;60.00
428;5;35.00
428;6;30.00
428;13;30.00
428;21;5.00
429;19;100.00
430;5;10.00
430;7;90.00
431;7;85.00
431;13;5.00
431;21;5.00
431;23;5.00
432;5;5.00
432;23;5.00
432;37;90.00
433;5;5.00
433;21;5.00
433;37;90.00
434;7;5.00
434;9;15.00
434;21;65.00
434;28;15.00
435;5;5.00
435;21;5.00
435;23;5.00
435;28;5.00
435;37;80.00
436;7;30.00
436;9;10.00
436;21;30.00
436;23;10.00
436;28;20.00
437;7;60.00
437;9;5.00
437;21;20.00
437;23;10.00
437;28;5.00
438;1;20.00
438;9;25.00
438;14;10.00
438;20;5.00
438;21;10.00
438;28;30.00
439;1;5.00
439;7;70.00
439;9;5.00
439;21;5.00
439;23;10.00
439;28;5.00
440;5;5.00
440;21;5.00
440;37;90.00
441;9;5.00
441;14;15.00
441;21;70.00
441;23;5.00
441;28;5.00
442;9;5.00
442;14;15.00
442;21;70.00
442;23;5.00
442;28;5.00
443;1;5.00
443;7;65.00
443;9;5.00
443;23;20.00
443;28;5.00
444;5;10.00
444;24;30.00
444;30;60.00
445;1;20.00
445;8;5.00
445;9;35.00
445;17;10.00
445;28;30.00
446;23;30.00
446;24;40.00
446;30;30.00
447;3;20.00
447;5;10.00
447;9;10.00
447;16;60.00
448;19;100.00
449;3;40.00
449;9;20.00
449;10;20.00
449;16;10.00
449;28;10.00
450;5;5.00
450;37;90.00
450;39;5.00
451;5;5.00
451;7;90.00
451;39;5.00
452;1;5.00
452;6;5.00
452;7;5.00
452;9;25.00
452;13;10.00
452;14;10.00
452;21;10.00
452;28;30.00
453;7;70.00
453;9;10.00
453;21;5.00
453;25;5.00
453;28;10.00
454;2;10.00
454;23;10.00
454;24;20.00
454;30;60.00
455;2;10.00
455;23;10.00
455;24;20.00
455;30;60.00
456;1;5.00
456;9;5.00
456;14;85.00
456;28;5.00
457;2;10.00
457;23;10.00
457;24;20.00
457;30;60.00
458;5;5.00
458;7;90.00
458;13;5.00
459;2;10.00
459;23;10.00
459;24;20.00
459;30;60.00
460;2;40.00
460;30;60.00
461;3;30.00
461;5;10.00
461;9;5.00
461;10;55.00
462;23;20.00
462;24;50.00
462;30;30.00
463;5;80.00
463;6;20.00
464;3;10.00
464;9;40.00
464;10;10.00
464;16;30.00
464;28;10.00
465;5;10.00
465;24;20.00
465;30;70.00
466;5;10.00
466;6;10.00
466;13;10.00
466;30;70.00
467;24;10.00
467;30;90.00
468;2;10.00
468;24;10.00
468;30;80.00
469;19;100.00
470;3;10.00
470;9;15.00
470;13;5.00
470;17;5.00
470;20;5.00
470;21;10.00
470;23;10.00
470;25;5.00
470;28;35.00
471;23;30.00
471;24;50.00
471;30;20.00
472;5;20.00
472;23;20.00
472;24;40.00
472;30;20.00
473;1;10.00
473;4;5.00
473;9;15.00
473;14;20.00
473;18;30.00
473;28;20.00

